genre,actor,avgRate,hitRatio,totalMovies,normalizedRating
adventure,Gracy Singh,6.0,1.0,1,0.58
drama,Gracy Singh,4.233333333333333,0.5333333333333333,11,0.34
musical,Gracy Singh,4.75,0.75,3,0.48
comedy,Gracy Singh,3.5,0.5,2,0.29
crime,Gracy Singh,3.6666666666666665,0.3333333333333333,3,0.22
family,Gracy Singh,2.0,0.0,1,0.09
thriller,Gracy Singh,1.0,0.0,1,0.02
adventure,Rachel Shelley,6.0,1.0,1,0.58
drama,Rachel Shelley,6.0,1.0,1,0.55
musical,Rachel Shelley,6.0,1.0,1,0.57
adventure,Paul Blackthorne,6.0,1.0,1,0.58
drama,Paul Blackthorne,6.0,1.0,1,0.55
musical,Paul Blackthorne,6.0,1.0,1,0.57
romance,Akshay Kumar,3.9866071428571432,0.5007440476190477,34,0.62
adventure,Akshay Kumar,1.8333333333333335,0.0,4,0.13
drama,Akshay Kumar,2.4541475885225887,0.023504273504273504,73,0.35
musical,Akshay Kumar,3.833333333333333,0.3333333333333333,6,0.32
action,Akshay Kumar,1.9444444444444444,0.05555555555555555,23,0.16
comedy,Akshay Kumar,3.91468253968254,0.25952380952380943,76,0.57
crime,Akshay Kumar,3.030549450549451,0.09472527472527473,36,0.5
family,Akshay Kumar,1.0,0.0,1,0.09
mystery,Akshay Kumar,4.625,0.5,6,0.57
thriller,Akshay Kumar,4.3,0.1,6,0.15
fantasy,Akshay Kumar,1.4444444444444444,0.0,5,0.32
music,Akshay Kumar,1.0,0.0,1,0.45
war,Akshay Kumar,1.0,0.0,1,0.09
horror,Akshay Kumar,5.0,0.75,3,0.58
animation,Akshay Kumar,1.0,0.0,1,0.15
sport,Akshay Kumar,2.0,0.0,1,0.15
drama,Sridevi,5.0,0.0,1,0.0
action,Sridevi,1.0,0.0,1,0.01
comedy,Sridevi,3.0,0.0,2,0.01
family,Sridevi,5.0,0.0,1,0.09
romance,Gulshan Grover,3.5194444444444444,0.44722222222222224,22,0.47
drama,Gulshan Grover,2.237438725490196,0.07193627450980392,57,0.3
musical,Gulshan Grover,1.0,0.0,2,0.05
action,Gulshan Grover,1.5761904761904761,0.0,37,0.2
comedy,Gulshan Grover,1.2057142857142857,0.0,20,0.11
crime,Gulshan Grover,1.611111111111111,0.0,16,0.2
family,Gulshan Grover,1.0,0.0,1,0.09
mystery,Gulshan Grover,2.3777777777777778,0.0,9,0.45
thriller,Gulshan Grover,2.6666666666666665,0.3125,15,0.41
fantasy,Gulshan Grover,1.0,0.0,1,0.06
music,Gulshan Grover,1.0,0.0,1,0.45
romance,Laxmikant Berde,2.5,0.0,3,0.03
drama,Laxmikant Berde,2.8333333333333335,0.0,5,0.02
action,Laxmikant Berde,1.0,0.0,1,0.01
comedy,Laxmikant Berde,2.5,0.0,2,0.01
crime,Laxmikant Berde,3.0,0.0,1,0.01
romance,Shah Rukh Khan,6.666666666666667,0.9393939393939394,14,0.66
adventure,Shah Rukh Khan,6.0,1.0,1,0.58
drama,Shah Rukh Khan,5.015476190476191,0.5916666666666667,35,0.49
musical,Shah Rukh Khan,7.541666666666667,1.0,9,0.75
action,Shah Rukh Khan,6.5,0.9375,10,0.57
comedy,Shah Rukh Khan,5.683333333333333,0.6766666666666666,19,0.48
crime,Shah Rukh Khan,6.166666666666666,1.0,5,0.61
thriller,Shah Rukh Khan,6.0,1.0,2,0.58
fantasy,Shah Rukh Khan,3.0,0.0,1,0.06
sci-fi,Shah Rukh Khan,6.0,1.0,1,0.7
romance,Madhuri Dixit,3.0,0.16666666666666666,4,0.13
drama,Madhuri Dixit,2.4999999999999996,0.0,14,0.06
musical,Madhuri Dixit,3.3333333333333335,0.3333333333333333,3,0.25
action,Madhuri Dixit,2.0,0.0,1,0.01
comedy,Madhuri Dixit,2.0,0.0,1,0.01
crime,Madhuri Dixit,2.0,0.0,1,0.01
romance,Salman Khan,4.746498599439776,0.3949579831932773,45,0.67
adventure,Salman Khan,3.0,0.0,1,0.03
drama,Salman Khan,3.1007502913752916,0.1455325924075924,84,0.47
musical,Salman Khan,3.3166666666666664,0.14523809523809522,20,0.53
action,Salman Khan,5.6,0.5,10,0.33
comedy,Salman Khan,4.921568627450981,0.47908496732026146,28,0.42
crime,Salman Khan,5.666666666666666,0.3333333333333333,4,0.23
family,Salman Khan,2.0,0.0,1,0.09
mystery,Salman Khan,2.0,0.0,1,0.05
thriller,Salman Khan,8.0,1.0,1,0.57
romance,Atul Agnihotri,4.0,0.0,1,0.01
drama,Atul Agnihotri,4.0,0.0,1,0.0
action,Atul Agnihotri,2.0,0.0,1,0.01
fantasy,Atul Agnihotri,2.0,0.0,1,0.06
horror,Atul Agnihotri,2.0,0.0,1,0.06
romance,Juhi Chawla,2.25,0.16666666666666666,5,0.14
adventure,Juhi Chawla,1.0,0.0,2,0.06
drama,Juhi Chawla,2.708333333333333,0.0,10,0.05
musical,Juhi Chawla,1.75,0.0,3,0.07
action,Juhi Chawla,1.8333333333333333,0.0625,10,0.09
comedy,Juhi Chawla,2.433333333333333,0.09999999999999999,22,0.18
crime,Juhi Chawla,4.0,0.0,1,0.01
thriller,Juhi Chawla,1.0,0.0,1,0.02
fantasy,Juhi Chawla,4.0,0.0,1,0.06
animation,Juhi Chawla,1.0,0.0,2,0.3
drama,Nirmal Pandey,1.0,0.0,1,0.0
action,Nirmal Pandey,1.0,0.0,1,0.01
comedy,Nirmal Pandey,1.0,0.0,1,0.01
crime,Nirmal Pandey,1.0,0.0,1,0.01
romance,Hrithik Roshan,2.7083333333333335,0.125,13,0.2
adventure,Hrithik Roshan,7.0,0.7777777777777777,6,0.62
drama,Hrithik Roshan,2.386904761904762,0.1515151515151515,27,0.21
musical,Hrithik Roshan,1.6666666666666667,0.0,6,0.14
action,Hrithik Roshan,6.5,0.7777777777777778,12,0.49
comedy,Hrithik Roshan,4.416666666666666,0.5833333333333333,8,0.37
biography,Hrithik Roshan,5.0,0.0,1,0.22
crime,Hrithik Roshan,6.25,1.0,3,0.59
thriller,Hrithik Roshan,8.0,1.0,1,0.57
war,Hrithik Roshan,2.0,0.0,1,0.09
sci-fi,Hrithik Roshan,8.0,1.0,1,0.7
romance,Ameesha Patel,1.9301948051948052,0.05844155844155845,23,0.26
adventure,Ameesha Patel,1.0,0.0,1,0.03
drama,Ameesha Patel,3.3305555555555557,0.21388888888888888,28,0.25
musical,Ameesha Patel,3.5,0.0,5,0.11
action,Ameesha Patel,2.607142857142857,0.13392857142857142,15,0.16
comedy,Ameesha Patel,1.75,0.08333333333333333,7,0.09
crime,Ameesha Patel,1.0,0.0,1,0.01
mystery,Ameesha Patel,3.0,0.16666666666666666,4,0.29
thriller,Ameesha Patel,1.0,0.0,3,0.05
music,Ameesha Patel,1.0,0.0,1,0.45
horror,Ameesha Patel,6.0,1.0,1,0.61
romance,Kiran Kumar,1.75,0.0,3,0.03
drama,Kiran Kumar,1.75,0.0,3,0.01
action,Kiran Kumar,1.75,0.0,3,0.02
thriller,Kiran Kumar,1.0,0.0,1,0.02
romance,Mukesh Tiwari,1.75,0.0,3,0.03
drama,Mukesh Tiwari,1.3666666666666667,0.0,9,0.04
action,Mukesh Tiwari,1.4333333333333333,0.0,10,0.05
comedy,Mukesh Tiwari,2.0,0.0,1,0.01
crime,Mukesh Tiwari,1.0,0.0,3,0.04
thriller,Mukesh Tiwari,2.5,0.0,3,0.05
horror,Mukesh Tiwari,3.0,0.0,1,0.06
romance,Amitabh Bachchan,2.836363636363636,0.1272727272727273,23,0.3
adventure,Amitabh Bachchan,1.6944444444444444,0.08333333333333333,8,0.3
drama,Amitabh Bachchan,3.056998556998557,0.024531024531024532,83,0.39
musical,Amitabh Bachchan,4.0,0.375,6,0.34
action,Amitabh Bachchan,2.6549019607843136,0.11813725490196077,42,0.3
comedy,Amitabh Bachchan,3.3,0.28888888888888886,16,0.25
crime,Amitabh Bachchan,3.8000000000000003,0.03333333333333333,18,0.24
family,Amitabh Bachchan,1.6666666666666667,0.0,3,0.27
mystery,Amitabh Bachchan,1.5,0.0,4,0.2
thriller,Amitabh Bachchan,3.0833333333333335,0.0,7,0.11
fantasy,Amitabh Bachchan,3.25,0.0,3,0.19
war,Amitabh Bachchan,1.5,0.0,2,0.18
horror,Amitabh Bachchan,1.0,0.0,1,0.06
sci-fi,Amitabh Bachchan,8.0,1.0,1,0.7
animation,Amitabh Bachchan,1.0,0.0,1,0.15
romance,Jaya Bhaduri,5.666666666666667,0.6666666666666666,4,0.41
adventure,Jaya Bhaduri,1.0,0.0,1,0.03
drama,Jaya Bhaduri,5.25,0.7,10,0.43
musical,Jaya Bhaduri,6.5,0.75,3,0.48
action,Jaya Bhaduri,1.0,0.0,1,0.01
comedy,Jaya Bhaduri,6.0,1.0,1,0.56
thriller,Jaya Bhaduri,2.0,0.0,1,0.02
romance,Kajol,5.583333333333333,0.8055555555555555,8,0.52
drama,Kajol,3.7625,0.375,15,0.28
musical,Kajol,7.25,1.0,3,0.62
comedy,Kajol,2.0,0.0,1,0.01
family,Kajol,2.0,0.0,3,0.27
thriller,Kajol,6.0,1.0,1,0.57
romance,Saif Ali Khan,4.6000000000000005,0.6333333333333333,14,0.49
adventure,Saif Ali Khan,2.5,0.0,2,0.06
drama,Saif Ali Khan,3.555645743145743,0.36814574314574317,48,0.42
musical,Saif Ali Khan,2.3333333333333335,0.0,4,0.09
action,Saif Ali Khan,2.86984126984127,0.047619047619047616,18,0.12
comedy,Saif Ali Khan,3.0437499999999997,0.18846153846153846,41,0.33
crime,Saif Ali Khan,3.1416666666666666,0.09166666666666667,18,0.28
family,Saif Ali Khan,3.222222222222222,0.0,5,0.45
thriller,Saif Ali Khan,1.875,0.0,6,0.1
war,Saif Ali Khan,2.0,0.0,1,0.09
horror,Saif Ali Khan,3.0,0.0,1,0.06
animation,Saif Ali Khan,1.0,0.0,1,0.15
romance,Esha Deol,1.3333333333333335,0.0,4,0.04
adventure,Esha Deol,7.0,1.0,1,0.58
drama,Esha Deol,1.4666666666666666,0.0,19,0.09
musical,Esha Deol,1.0,0.0,2,0.05
action,Esha Deol,3.25,0.16666666666666666,5,0.12
comedy,Esha Deol,2.8611111111111107,0.0,8,0.05
family,Esha Deol,2.0,0.0,1,0.09
mystery,Esha Deol,1.5,0.0,2,0.1
thriller,Esha Deol,2.5,0.25,3,0.19
war,Esha Deol,1.0,0.0,1,0.09
horror,Esha Deol,2.0,0.0,1,0.06
romance,Alok Nath,2.0,0.0,1,0.01
drama,Alok Nath,2.0666666666666664,0.13333333333333333,13,0.13
musical,Alok Nath,4.5,0.5,2,0.32
comedy,Alok Nath,1.0,0.0,1,0.01
crime,Alok Nath,1.0,0.0,1,0.01
family,Alok Nath,8.0,1.0,1,0.64
mystery,Alok Nath,1.75,0.0,3,0.15
romance,Kareena Kapoor,2.4675324675324672,0.10129870129870129,32,0.38
adventure,Kareena Kapoor,3.6666666666666665,0.41666666666666663,5,0.39
drama,Kareena Kapoor,3.209339004075846,0.09671274144958356,88,0.46
musical,Kareena Kapoor,2.0,0.0,3,0.07
action,Kareena Kapoor,4.129464285714286,0.4258928571428572,33,0.42
comedy,Kareena Kapoor,4.102380952380953,0.41238095238095235,28,0.38
crime,Kareena Kapoor,2.7,0.05,13,0.19
family,Kareena Kapoor,1.25,0.0,3,0.27
mystery,Kareena Kapoor,4.583333333333334,0.0,5,0.25
thriller,Kareena Kapoor,4.041666666666666,0.0,7,0.11
sci-fi,Kareena Kapoor,6.0,1.0,1,0.7
animation,Kareena Kapoor,1.0,0.0,1,0.15
romance,Amrish Puri,4.0125,0.35,12,0.31
adventure,Amrish Puri,3.0,0.0,1,0.03
drama,Amrish Puri,4.069444444444444,0.2916666666666667,24,0.27
musical,Amrish Puri,4.25,0.0,3,0.07
action,Amrish Puri,3.25,0.19444444444444442,8,0.15
comedy,Amrish Puri,6.0,1.0,1,0.56
crime,Amrish Puri,1.0,0.0,1,0.01
thriller,Amrish Puri,4.0,0.0,1,0.02
romance,Karisma Kapoor,1.5,0.0,2,0.02
adventure,Karisma Kapoor,1.0,0.0,1,0.03
drama,Karisma Kapoor,1.5,0.0,2,0.01
musical,Karisma Kapoor,2.0,0.0,1,0.02
action,Karisma Kapoor,2.0,0.0,1,0.01
biography,Karisma Kapoor,1.0,0.0,1,0.22
family,Karisma Kapoor,2.0,0.0,1,0.09
thriller,Karisma Kapoor,1.0,0.0,1,0.02
music,Karisma Kapoor,1.0,0.0,1,0.45
romance,Rekha,2.75,0.25,3,0.17
adventure,Rekha,4.5,0.5,2,0.34
drama,Rekha,1.25,0.0,7,0.03
musical,Rekha,1.25,0.0,3,0.07
action,Rekha,8.0,1.0,1,0.56
comedy,Rekha,1.25,0.0,3,0.02
biography,Rekha,1.0,0.0,1,0.22
crime,Rekha,2.0,0.0,1,0.01
family,Rekha,1.0,0.0,1,0.09
thriller,Rekha,6.0,1.0,1,0.57
horror,Rekha,6.0,1.0,1,0.61
romance,Manoj Bajpayee,1.0,0.0,1,0.01
adventure,Manoj Bajpayee,1.0,0.0,2,0.06
drama,Manoj Bajpayee,2.6444444444444444,0.0,30,0.14
action,Manoj Bajpayee,1.111111111111111,0.0,8,0.04
comedy,Manoj Bajpayee,1.0,0.0,4,0.02
biography,Manoj Bajpayee,1.0,0.0,1,0.22
crime,Manoj Bajpayee,1.888888888888889,0.0,6,0.08
mystery,Manoj Bajpayee,2.0,0.0,1,0.05
thriller,Manoj Bajpayee,2.25,0.0,13,0.21
war,Manoj Bajpayee,1.75,0.0,3,0.27
animation,Manoj Bajpayee,1.0,0.0,3,0.45
adventure,Rajit Kapoor,1.0,0.0,1,0.03
drama,Rajit Kapoor,1.0,0.0,8,0.04
action,Rajit Kapoor,1.0,0.0,1,0.01
biography,Rajit Kapoor,1.0,0.0,1,0.22
family,Rajit Kapoor,1.0,0.0,1,0.09
mystery,Rajit Kapoor,1.0,0.0,1,0.05
thriller,Rajit Kapoor,1.0,0.0,3,0.05
romance,Preity Zinta,3.2592592592592595,0.25396825396825395,17,0.31
adventure,Preity Zinta,3.0,0.0,1,0.03
drama,Preity Zinta,4.047103689960833,0.3775664811379097,50,0.44
musical,Preity Zinta,5.625,0.625,7,0.5
action,Preity Zinta,3.25,0.0,3,0.02
comedy,Preity Zinta,4.4375,0.5416666666666666,15,0.38
family,Preity Zinta,2.5,0.0,2,0.18
war,Preity Zinta,2.0,0.0,1,0.09
romance,Rani Mukerji,3.6833333333333327,0.3433333333333333,36,0.55
adventure,Rani Mukerji,4.0,0.25,3,0.23
drama,Rani Mukerji,3.61350820048299,0.13999529881882825,68,0.39
musical,Rani Mukerji,4.833333333333333,0.37499999999999994,11,0.45
action,Rani Mukerji,2.8333333333333335,0.0,4,0.02
comedy,Rani Mukerji,4.90625,0.6041666666666667,17,0.43
biography,Rani Mukerji,2.0,0.0,1,0.22
crime,Rani Mukerji,5.0,0.16666666666666666,5,0.15
family,Rani Mukerji,4.25,0.0,3,0.27
mystery,Rani Mukerji,5.0,0.0,1,0.05
thriller,Rani Mukerji,2.75,0.0,3,0.05
fantasy,Rani Mukerji,3.0,0.0,1,0.06
history,Rani Mukerji,2.0,0.0,1,0.15
sport,Rani Mukerji,2.0,0.0,1,0.15
romance,Abhishek Bachchan,2.7190476190476187,0.0,24,0.24
adventure,Abhishek Bachchan,2.9291666666666667,0.19583333333333333,14,0.56
drama,Abhishek Bachchan,3.023758012820513,0.19971955128205127,62,0.39
musical,Abhishek Bachchan,2.8833333333333333,0.2333333333333333,13,0.42
action,Abhishek Bachchan,2.6666666666666665,0.05714285714285714,35,0.22
comedy,Abhishek Bachchan,4.7299999999999995,0.45499999999999996,20,0.36
biography,Abhishek Bachchan,6.0,1.0,1,0.78
crime,Abhishek Bachchan,3.4522222222222227,0.09555555555555556,30,0.43
thriller,Abhishek Bachchan,4.055555555555556,0.24444444444444446,10,0.3
history,Abhishek Bachchan,1.0,0.0,1,0.15
romance,Johnny Lever,2.0,0.0,1,0.01
drama,Johnny Lever,1.5833333333333333,0.0,7,0.03
musical,Johnny Lever,3.5,0.0,3,0.07
action,Johnny Lever,3.0,0.0,2,0.01
comedy,Johnny Lever,1.1875,0.0,9,0.05
mystery,Johnny Lever,4.0,0.0,1,0.05
romance,Sunil Shetty,3.1,0.10833333333333334,14,0.2
drama,Sunil Shetty,1.780952380952381,0.038690476190476185,59,0.29
musical,Sunil Shetty,2.0,0.0,1,0.02
action,Sunil Shetty,2.554271708683473,0.10667600373482726,82,0.51
comedy,Sunil Shetty,4.01278659611993,0.42698412698412697,62,0.58
crime,Sunil Shetty,3.634920634920635,0.09325396825396826,26,0.38
family,Sunil Shetty,2.0,0.0,1,0.09
thriller,Sunil Shetty,2.0105820105820107,0.0,24,0.39
fantasy,Sunil Shetty,1.0,0.0,1,0.06
war,Sunil Shetty,1.5,0.0,2,0.18
horror,Sunil Shetty,1.0,0.0,1,0.06
sci-fi,Sunil Shetty,1.0,0.0,1,0.15
drama,Raveena Tandon,1.2333333333333332,0.0,15,0.07
musical,Raveena Tandon,1.0,0.0,1,0.02
action,Raveena Tandon,1.4166666666666665,0.0,5,0.03
comedy,Raveena Tandon,1.0833333333333333,0.0,7,0.04
crime,Raveena Tandon,1.5833333333333335,0.0,5,0.06
family,Raveena Tandon,1.0,0.0,1,0.09
mystery,Raveena Tandon,2.0,0.0,1,0.05
thriller,Raveena Tandon,1.4444444444444444,0.0,5,0.08
romance,Danny Denzongpa,2.0,0.0,1,0.01
adventure,Danny Denzongpa,5.0,0.0,1,0.03
drama,Danny Denzongpa,2.3333333333333335,0.0,5,0.02
action,Danny Denzongpa,2.8333333333333335,0.0,5,0.03
comedy,Danny Denzongpa,3.5,0.0,2,0.01
crime,Danny Denzongpa,2.0,0.0,1,0.01
mystery,Danny Denzongpa,4.0,0.0,1,0.05
romance,Sadashiv Amrapurkar,1.0,0.0,1,0.01
drama,Sadashiv Amrapurkar,1.25,0.0,6,0.03
musical,Sadashiv Amrapurkar,1.0,0.0,1,0.02
action,Sadashiv Amrapurkar,1.125,0.0,7,0.04
comedy,Sadashiv Amrapurkar,1.0,0.0,6,0.03
crime,Sadashiv Amrapurkar,1.25,0.0,6,0.08
horror,Sadashiv Amrapurkar,1.0,0.0,1,0.06
romance,Tabu,4.125,0.125,6,0.13
drama,Tabu,2.852380952380952,0.07142857142857142,27,0.16
musical,Tabu,2.5,0.25,3,0.2
action,Tabu,2.6666666666666665,0.0,11,0.06
comedy,Tabu,4.0,0.0,5,0.03
crime,Tabu,2.75,0.0,3,0.04
family,Tabu,1.0,0.0,1,0.09
thriller,Tabu,3.0,0.0,1,0.02
horror,Tabu,3.0,0.0,1,0.06
drama,Atul Kulkarni,2.125,0.0,9,0.04
action,Atul Kulkarni,1.0,0.0,1,0.01
crime,Atul Kulkarni,3.25,0.0,5,0.06
thriller,Atul Kulkarni,1.0,0.0,6,0.1
horror,Atul Kulkarni,1.0,0.0,1,0.06
romance,Rajpal Yadav,1.0,0.0,1,0.01
adventure,Rajpal Yadav,1.0,0.0,1,0.03
drama,Rajpal Yadav,1.6452380952380954,0.0,34,0.16
action,Rajpal Yadav,1.75,0.0,3,0.02
comedy,Rajpal Yadav,1.8017857142857143,0.0,48,0.27
crime,Rajpal Yadav,3.5,0.0,5,0.06
family,Rajpal Yadav,1.0,0.0,1,0.09
fantasy,Rajpal Yadav,4.0,0.0,1,0.06
history,Rajpal Yadav,1.0,0.0,1,0.15
animation,Rajpal Yadav,1.0,0.0,1,0.15
drama,Shri Vallabh Vyas,2.333333333333333,0.0,4,0.02
action,Shri Vallabh Vyas,1.0,0.0,1,0.01
crime,Shri Vallabh Vyas,2.75,0.0,3,0.04
thriller,Shri Vallabh Vyas,1.0,0.0,1,0.02
romance,Rishi Kapoor,3.160714285714286,0.1865079365079365,21,0.31
drama,Rishi Kapoor,2.641815476190476,0.09270833333333334,50,0.28
musical,Rishi Kapoor,3.5,0.41666666666666663,5,0.34
action,Rishi Kapoor,2.1666666666666665,0.16666666666666666,4,0.11
comedy,Rishi Kapoor,2.632275132275132,0.047619047619047616,20,0.14
crime,Rishi Kapoor,2.5,0.25,3,0.18
family,Rishi Kapoor,2.0,0.0,3,0.27
thriller,Rishi Kapoor,2.0,0.0,1,0.02
sport,Rishi Kapoor,2.0,0.0,1,0.15
romance,Rati Agnihotri,2.4642857142857144,0.2857142857142857,11,0.27
adventure,Rati Agnihotri,1.0,0.0,1,0.03
drama,Rati Agnihotri,1.3287037037037035,0.026984126984126985,44,0.22
musical,Rati Agnihotri,1.0,0.0,1,0.02
action,Rati Agnihotri,1.0,0.0,6,0.03
comedy,Rati Agnihotri,2.1166666666666663,0.2,14,0.19
crime,Rati Agnihotri,1.0,0.0,3,0.04
family,Rati Agnihotri,2.0,0.0,1,0.09
thriller,Rati Agnihotri,1.0,0.0,3,0.05
fantasy,Rati Agnihotri,1.5,0.0,2,0.13
horror,Rati Agnihotri,2.0,0.0,1,0.06
romance,Dev Anand,1.0,0.0,1,0.01
drama,Dev Anand,1.0,0.0,3,0.01
musical,Dev Anand,1.0,0.0,1,0.02
comedy,Dev Anand,1.0,0.0,1,0.01
thriller,Dev Anand,1.0,0.0,1,0.02
romance,Hema Malini,2.5,0.25,4,0.18
drama,Hema Malini,2.5,0.16666666666666666,4,0.11
musical,Hema Malini,1.0,0.0,1,0.02
action,Hema Malini,2.0,0.0,1,0.01
crime,Hema Malini,2.0,0.0,1,0.01
family,Hema Malini,2.0,0.0,1,0.09
romance,Shammi Kapoor,1.0,0.0,1,0.01
musical,Shammi Kapoor,3.0,0.0,2,0.05
music,Shammi Kapoor,5.0,0.0,1,0.45
romance,Sunny Deol,2.5,0.125,5,0.12
adventure,Sunny Deol,2.25,0.0,7,0.22
drama,Sunny Deol,1.9793939393939393,0.05818181818181819,28,0.16
musical,Sunny Deol,1.0,0.0,2,0.05
action,Sunny Deol,1.6209653092006029,0.02714932126696833,38,0.22
comedy,Sunny Deol,2.0,0.0,3,0.02
biography,Sunny Deol,1.0,0.0,1,0.22
crime,Sunny Deol,1.1666666666666665,0.0,11,0.14
mystery,Sunny Deol,1.0,0.0,1,0.05
thriller,Sunny Deol,1.1666666666666665,0.0,4,0.06
history,Sunny Deol,1.0,0.0,1,0.15
animation,Sunny Deol,1.0,0.0,1,0.15
sport,Sunny Deol,4.0,0.0,1,0.15
romance,Om Puri,2.66875,0.14375,18,0.26
drama,Om Puri,2.1373664081017023,0.12940512102276808,98,0.52
musical,Om Puri,1.1666666666666667,0.0,5,0.11
action,Om Puri,2.43125,0.18392857142857144,21,0.22
comedy,Om Puri,3.51984126984127,0.314033189033189,37,0.38
crime,Om Puri,1.7485714285714284,0.09,25,0.36
family,Om Puri,1.0,0.0,2,0.18
mystery,Om Puri,1.0,0.0,3,0.15
thriller,Om Puri,1.0,0.0,3,0.05
romance,Naseeruddin Shah,2.25,0.0,5,0.05
adventure,Naseeruddin Shah,2.5,0.27777777777777773,6,0.35
drama,Naseeruddin Shah,2.9285714285714284,0.21666666666666665,45,0.33
musical,Naseeruddin Shah,1.0,0.0,1,0.02
action,Naseeruddin Shah,3.1666666666666665,0.3333333333333333,5,0.21
comedy,Naseeruddin Shah,4.486111111111111,0.5902777777777778,16,0.41
biography,Naseeruddin Shah,7.0,1.0,1,0.78
crime,Naseeruddin Shah,3.1291666666666664,0.19583333333333333,13,0.27
family,Naseeruddin Shah,1.0,0.0,1,0.09
mystery,Naseeruddin Shah,1.0,0.0,1,0.05
thriller,Naseeruddin Shah,4.75,0.75,3,0.46
sci-fi,Naseeruddin Shah,8.0,1.0,1,0.7
romance,Arshad Warsi,4.3,0.3666666666666667,11,0.31
drama,Arshad Warsi,4.5625,0.41874999999999996,22,0.33
musical,Arshad Warsi,1.25,0.0,3,0.07
action,Arshad Warsi,1.7023809523809523,0.0,12,0.07
comedy,Arshad Warsi,2.995000613421666,0.19193963930806035,80,0.56
crime,Arshad Warsi,2.722222222222222,0.16666666666666666,10,0.22
family,Arshad Warsi,1.5,0.0,2,0.18
thriller,Arshad Warsi,1.0,0.0,1,0.02
fantasy,Arshad Warsi,1.0,0.0,1,0.06
sport,Arshad Warsi,2.0,0.0,1,0.15
romance,Suman Ranganathan,1.0,0.0,1,0.01
drama,Suman Ranganathan,3.0,0.0,1,0.0
musical,Suman Ranganathan,1.888888888888889,0.0,5,0.11
comedy,Suman Ranganathan,1.0,0.0,1,0.01
crime,Suman Ranganathan,1.0,0.0,1,0.01
family,Suman Ranganathan,1.0,0.0,1,0.09
mystery,Suman Ranganathan,1.0,0.0,1,0.05
thriller,Suman Ranganathan,1.0,0.0,1,0.02
romance,Uday Chopra,2.0,0.0,3,0.03
adventure,Uday Chopra,7.0,1.0,1,0.58
drama,Uday Chopra,2.5,0.0,4,0.02
musical,Uday Chopra,2.5,0.0,4,0.09
action,Uday Chopra,7.5,1.0,2,0.56
comedy,Uday Chopra,3.0,0.0,3,0.02
crime,Uday Chopra,1.0,0.0,1,0.01
thriller,Uday Chopra,7.5,1.0,2,0.58
drama,Sayaji Shinde,1.0,0.0,2,0.01
