name,year,Hit,Flop,HitPercentage
Mohammed Zeeshan Ayyub,2001-01-01,0,0,0.0
Ranvir Shorey,2001-01-01,0,0,0.0
Genelia D'Souza,2001-01-01,0,0,0.0
Isha Koppikar,2001-01-01,0,0,0.0
Soha Ali Khan,2001-01-01,0,0,0.0
Johnny Lever,2001-01-01,0,1,0.0
Ayesha Takia,2001-01-01,0,0,0.0
Tia Bajpai,2001-01-01,0,0,0.0
Nasser,2001-01-01,0,0,0.0
Saurabh Shukla,2001-01-01,0,1,0.0
Konkona Sen Sharma,2001-01-01,0,0,0.0
Ameesha Patel,2001-01-01,1,1,0.5
Zayed Khan,2001-01-01,0,0,0.0
Neha Dhupia,2001-01-01,0,0,0.0
Irrfan Khan,2001-01-01,0,0,0.0
Revathy,2001-01-01,0,0,0.0
Girish Karnad,2001-01-01,0,0,0.0
Fardeen Khan,2001-01-01,0,3,0.0
Mahesh Manjrekar,2001-01-01,0,0,0.0
Shakti Kapoor,2001-01-01,0,1,0.0
Shiney Ahuja,2001-01-01,0,0,0.0
Lillete Dubey,2001-01-01,1,0,1.0
Shreyas Talpade,2001-01-01,0,0,0.0
Minissha Lamba,2001-01-01,0,0,0.0
Jimmy Shergill,2001-01-01,0,1,0.0
Manisha Koirala,2001-01-01,0,2,0.0
Atul Kulkarni,2001-01-01,1,0,1.0
Amrita Arora,2001-01-01,0,0,0.0
Neil Nitin Mukesh,2001-01-01,0,0,0.0
Rajat Kapoor,2001-01-01,0,0,0.0
Aftab Shivdasani,2001-01-01,0,1,0.0
Ashmit Patel,2001-01-01,0,0,0.0
Dimple Kapadia,2001-01-01,0,0,0.0
Urmila Matondkar,2001-01-01,0,0,0.0
Danny Denzongpa,2001-01-01,0,1,0.0
Ahsaas Channa,2001-01-01,0,0,0.0
Prem Chopra,2001-01-01,0,1,0.0
Sushant Singh,2001-01-01,0,0,0.0
Rahul Dev,2001-01-01,0,1,0.0
Kay Kay Menon,2001-01-01,0,0,0.0
Darshan Jariwala,2001-01-01,0,0,0.0
Antara Mali,2001-01-01,0,0,0.0
Jackie Shroff,2001-01-01,0,7,0.0
Vrajesh Hirjee,2001-01-01,0,2,0.0
Vicky Ahuja,2001-01-01,0,0,0.0
Sandhya Mridul,2001-01-01,0,0,0.0
Arbaaz Khan,2001-01-01,0,0,0.0
Prachi Desai,2001-01-01,0,0,0.0
Ali Zafar,2001-01-01,0,0,0.0
Udita Goswami,2001-01-01,0,0,0.0
Rana Jung Bahadur,2001-01-01,1,0,1.0
Abhay Deol,2001-01-01,0,0,0.0
Neetu Chandra,2001-01-01,0,0,0.0
Sanjay Mishra,2001-01-01,0,0,0.0
Priyanshu Chatterjee,2001-01-01,0,1,0.0
Raveena Tandon,2001-01-01,0,3,0.0
Alok Nath,2001-01-01,0,0,0.0
Mahie Gill,2001-01-01,0,0,0.0
Sharat Saxena,2001-01-01,0,0,0.0
Mithun Chakraborty,2001-01-01,0,4,0.0
Bobby Deol,2001-01-01,0,2,0.0
Tinnu Anand,2001-01-01,0,1,0.0
Manjari Phadnis,2001-01-01,0,0,0.0
Kunal Kapoor,2001-01-01,0,0,0.0
Ayub Khan,2001-01-01,0,0,0.0
Kashmira Shah,2001-01-01,0,0,0.0
Deepak Dobriyal,2001-01-01,0,0,0.0
Rajpal Yadav,2001-01-01,1,0,1.0
Divya Dutta,2001-01-01,0,0,0.0
Rajat Bedi,2001-01-01,0,0,0.0
Rahul Bose,2001-01-01,0,0,0.0
Parvin Dabas,2001-01-01,0,0,0.0
Asrani,2001-01-01,0,1,0.0
Raghuvir Yadav,2001-01-01,0,0,0.0
Avtar Gill,2001-01-01,0,1,0.0
Aashish Chaudhary,2001-01-01,0,0,0.0
Laxmikant Berde,2001-01-01,0,2,0.0
Nandita Das,2001-01-01,0,1,0.0
Mukesh Tiwari,2001-01-01,0,0,0.0
Mahima Chaudhry,2001-01-01,0,1,0.0
Shahana Goswami,2001-01-01,0,0,0.0
Tara Sharma,2001-01-01,0,0,0.0
Smita Jaykar,2001-01-01,0,0,0.0
Gulshan Grover,2001-01-01,0,3,0.0
Vidya Malvade,2001-01-01,0,0,0.0
Yashpal Sharma,2001-01-01,0,0,0.0
Manoj Bajpayee,2001-01-01,0,2,0.0
Ashutosh Rana,2001-01-01,0,0,0.0
Ravi Kishan,2001-01-01,0,0,0.0
Nafisa Ali,2001-01-01,0,1,0.0
Arunoday Singh,2001-01-01,0,0,0.0
Omkar Das Manikpuri,2001-01-01,0,0,0.0
Himanshu Malik,2001-01-01,0,1,0.0
Mimoh Chakraborty,2001-01-01,0,0,0.0
Nushrat Bharucha,2001-01-01,0,0,0.0
Sarika,2001-01-01,0,0,0.0
Hema Malini,2001-01-01,0,1,0.0
Krishna Bhatt,2001-01-01,0,0,0.0
Dino Morea,2001-01-01,0,0,0.0
Tanushree Dutta,2001-01-01,0,0,0.0
Zakir Hussain,2001-01-01,0,0,0.0
Asif Basra,2001-01-01,0,0,0.0
Sachin Khedekar,2001-01-01,0,0,0.0
Celina Jaitly,2001-01-01,0,0,0.0
Raima Sen,2001-01-01,0,1,0.0
Gul Panag,2001-01-01,0,0,0.0
Rakesh Bedi,2001-01-01,0,0,0.0
Rati Agnihotri,2001-01-01,0,1,0.0
Ali Fazal,2001-01-01,0,0,0.0
Aarti Chhabria,2001-01-01,0,0,0.0
Satish Kaushik,2001-01-01,0,0,0.0
Seema Biswas,2001-01-01,0,0,0.0
Sanjay Suri,2001-01-01,0,1,0.0
Arun Bakshi,2001-01-01,0,0,0.0
Arya Babbar,2001-01-01,0,0,0.0
Namrata Shirodkar,2001-01-01,0,2,0.0
Dipannita Sharma,2001-01-01,0,0,0.0
Manu Rishi Chadha,2001-01-01,0,0,0.0
Sharad S. Kapoor,2001-01-01,0,1,0.0
Farida Jalal,2001-01-01,0,0,0.0
Mugdha Godse,2001-01-01,0,0,0.0
Riya Sen,2001-01-01,1,0,1.0
Bhoomika Chawla,2001-01-01,0,0,0.0
Tulip Joshi,2001-01-01,0,0,0.0
Vijay Raaz,2001-01-01,0,0,0.0
Hrishitaa Bhatt,2001-01-01,0,0,0.0
Dinesh Hingoo,2001-01-01,0,1,0.0
Sadashiv Amrapurkar,2001-01-01,0,3,0.0
Mohnish Bahl,2001-01-01,0,1,0.0
Farooq Shaikh,2001-01-01,0,0,0.0
Vikram Gokhale,2001-01-01,0,3,0.0
Govind Namdeo,2001-01-01,0,0,0.0
Kurush Deboo,2001-01-01,0,0,0.0
Sahil Khan,2001-01-01,1,0,1.0
Yash Tonk,2001-01-01,0,0,0.0
Ishrat Ali,2001-01-01,0,0,0.0
Milind Gunaji,2001-01-01,0,0,0.0
Sudesh Berry,2001-01-01,0,0,0.0
Rajit Kapoor,2001-01-01,0,1,0.0
Nassar Abdulla,2001-01-01,0,0,0.0
Snehal Dabi,2001-01-01,0,0,0.0
Sandali Sinha,2001-01-01,0,1,0.0
Kader Khan,2001-01-01,0,0,0.0
Rajeev Khandelwal,2001-01-01,0,0,0.0
Anupama Verma,2001-01-01,0,2,0.0
Anang Desai,2001-01-01,0,0,0.0
Himesh Reshammiya,2001-01-01,0,0,0.0
Bharati Achrekar,2001-01-01,0,0,0.0
Ashish Vidyarthi,2001-01-01,0,0,0.0
Purab Kohli,2001-01-01,0,0,0.0
Ila Arun,2001-01-01,0,0,0.0
Ram Kapoor,2001-01-01,0,0,0.0
Manoj Joshi,2001-01-01,0,0,0.0
Preeti Jhangiani,2001-01-01,0,0,0.0
Jacky Bhagnani,2001-01-01,0,0,0.0
Anuj Sawhney,2001-01-01,0,0,0.0
Neha Sharma,2001-01-01,0,0,0.0
Neena Gupta,2001-01-01,0,0,0.0
Gajendra Chouhan,2001-01-01,0,1,0.0
Perizaad Zorabian,2001-01-01,0,0,0.0
Aryan Vaid,2001-01-01,0,0,0.0
Prateik,2001-01-01,0,0,0.0
Sayaji Shinde,2001-01-01,0,2,0.0
Anita Hassandani,2001-01-01,0,0,0.0
Pooja Batra,2001-01-01,0,2,0.0
Vatsal Seth,2001-01-01,0,0,0.0
Suman Ranganathan,2001-01-01,0,2,0.0
Javed Jaffrey,2001-01-01,0,0,0.0
Mukesh Bhatt,2001-01-01,0,0,0.0
Arjan Bajwa,2001-01-01,0,0,0.0
Kabir Bedi,2001-01-01,0,0,0.0
Mukul Dev,2001-01-01,0,1,0.0
Shawar Ali,2001-01-01,0,0,0.0
Ayesha Jhulka,2001-01-01,0,1,0.0
Rajesh Khanna,2001-01-01,0,1,0.0
Birbal,2001-01-01,0,1,0.0
Sayali Bhagat,2001-01-01,0,0,0.0
Kiran Kumar,2001-01-01,0,0,0.0
Chunky Pandey,2001-01-01,0,1,0.0
Mandira Bedi,2001-01-01,0,0,0.0
Makrand Deshpande,2001-01-01,0,0,0.0
Aditya Srivastava,2001-01-01,0,0,0.0
Nauheed Cyrusi,2001-01-01,0,0,0.0
Abhay Bhargav,2001-01-01,0,0,0.0
Prashant Narayanan,2001-01-01,0,0,0.0
Puru Rajkumar,2001-01-01,0,2,0.0
Rohini Hattangadi,2001-01-01,0,2,0.0
Mukesh Ahuja,2001-01-01,0,0,0.0
Nagesh Bhonsle,2001-01-01,0,0,0.0
Shweta Bhardwaj,2001-01-01,0,0,0.0
Vikas Anand,2001-01-01,0,1,0.0
Akhilendra Mishra,2001-01-01,0,0,0.0
Rituparna Sengupta,2001-01-01,0,0,0.0
Hazel Croney,2001-01-01,0,0,0.0
Harman Baweja,2001-01-01,0,0,0.0
Sudha Chandran,2001-01-01,0,0,0.0
Shabana Azmi,2001-01-01,0,0,0.0
Benjamin Gilani,2001-01-01,0,0,0.0
Dev Anand,2001-01-01,0,1,0.0
Tanvi Azmi,2001-01-01,0,0,0.0
Adi Irani,2001-01-01,0,0,0.0
Achint Kaur,2001-01-01,0,0,0.0
Yuvika Chaudhry,2001-01-01,0,0,0.0
Pankaj Berry,2001-01-01,0,2,0.0
Varun Dhawan,2001-01-01,0,0,0.0
Nargis Fakhri,2001-01-01,0,0,0.0
Aamir Khan,2002-01-01,0,0,0.0
Shah Rukh Khan,2002-01-01,1,1,0.5
Salman Khan,2002-01-01,0,3,0.0
Katrina Kaif,2002-01-01,0,0,0.0
Deepika Padukone,2002-01-01,0,0,0.0
Hrithik Roshan,2002-01-01,0,3,0.0
Priyanka Chopra,2002-01-01,0,0,0.0
Kareena Kapoor,2002-01-01,0,2,0.0
Ranbir Kapoor,2002-01-01,0,0,0.0
Kajol,2002-01-01,0,0,0.0
John Abraham,2002-01-01,0,0,0.0
Amitabh Bachchan,2002-01-01,0,2,0.0
Sonakshi Sinha,2002-01-01,0,0,0.0
Alia Bhatt,2002-01-01,0,0,0.0
Ajay Devgn,2002-01-01,0,3,0.0
Asin,2002-01-01,0,0,0.0
Farhan Akhtar,2002-01-01,0,0,0.0
Arjun Kapoor,2002-01-01,0,0,0.0
Akshay Kumar,2002-01-01,0,4,0.0
Anushka Sharma,2002-01-01,0,0,0.0
Vidya Balan,2002-01-01,0,0,0.0
Aishwarya Rai Bachchan,2002-01-01,1,0,1.0
Ranveer Singh,2002-01-01,0,0,0.0
Vir Das,2002-01-01,0,0,0.0
Shahid Kapoor,2002-01-01,0,0,0.0
Saif Ali Khan,2002-01-01,0,1,0.0
Anil Kapoor,2002-01-01,0,3,0.0
Prakash Raj,2002-01-01,0,0,0.0
Sonam Kapoor,2002-01-01,0,0,0.0
Sanjay Kapoor,2002-01-01,0,3,0.0
Jacqueline Fernandez,2002-01-01,0,0,0.0
Abhishek Bachchan,2002-01-01,0,2,0.0
Imran Khan,2002-01-01,0,0,0.0
Rekha,2002-01-01,0,0,0.0
Tabu,2002-01-01,0,3,0.0
Madhavan,2002-01-01,0,1,0.0
Sanjay Dutt,2002-01-01,0,5,0.0
Parineeti Chopra,2002-01-01,0,0,0.0
Madhuri Dixit,2002-01-01,1,1,0.5
Preity Zinta,2002-01-01,0,1,0.0
Govinda,2002-01-01,0,4,0.0
Emraan Hashmi,2002-01-01,0,0,0.0
Bipasha Basu,2002-01-01,1,1,0.5
Uday Chopra,2002-01-01,1,1,0.5
Aditya Roy Kapoor,2002-01-01,0,0,0.0
Ritesh Deshmukh,2002-01-01,0,0,0.0
Rishi Kapoor,2002-01-01,0,1,0.0
Kangana Ranaut,2002-01-01,0,0,0.0
Dia Mirza,2002-01-01,0,1,0.0
Amrish Puri,2002-01-01,0,0,0.0
Amrita Rao,2002-01-01,0,1,0.0
Lara Dutta,2002-01-01,0,0,0.0
Om Puri,2002-01-01,0,3,0.0
Kiron Kher,2002-01-01,0,0,0.0
Mallika Sherawat,2002-01-01,0,0,0.0
Sonu Sood,2002-01-01,0,0,0.0
Nana Patekar,2002-01-01,0,2,0.0
Vinod Khanna,2002-01-01,0,1,0.0
Kalki Koechlin,2002-01-01,0,0,0.0
Rani Mukerji,2002-01-01,1,3,0.25
Rajkummar Rao,2002-01-01,0,0,0.0
Tusshar Kapoor,2002-01-01,0,2,0.0
Arjun Rampal,2002-01-01,0,2,0.0
Paresh Rawal,2002-01-01,0,1,0.0
Supriya Pathak,2002-01-01,0,0,0.0
Nawazuddin Siddiqui,2002-01-01,0,0,0.0
Naseeruddin Shah,2002-01-01,0,1,0.0
Randeep Hooda,2002-01-01,0,0,0.0
Jaya Bhaduri,2002-01-01,0,2,0.0
Karisma Kapoor,2002-01-01,0,3,0.0
Sharman Joshi,2002-01-01,0,0,0.0
Boman Irani,2002-01-01,0,0,0.0
Satish Shah,2002-01-01,1,1,0.5
Arshad Warsi,2002-01-01,0,0,0.0
Raj Babbar,2002-01-01,0,2,0.0
Shilpa Shetty,2002-01-01,0,3,0.0
Vivek Oberoi,2002-01-01,1,1,0.5
Anupam Kher,2002-01-01,0,0,0.0
Sameera Reddy,2002-01-01,0,1,0.0
Sunny Deol,2002-01-01,0,3,0.0
Shraddha Kapoor,2002-01-01,0,0,0.0
Akshaye Khanna,2002-01-01,0,2,0.0
Manish Chaudhary,2002-01-01,0,0,0.0
Sunil Shetty,2002-01-01,0,5,0.0
Sohail Khan,2002-01-01,0,1,0.0
Esha Deol,2002-01-01,0,2,0.0
Pavan Malhotra,2002-01-01,0,0,0.0
Sonali Kulkarni,2002-01-01,0,0,0.0
Rimi Sen,2002-01-01,0,0,0.0
Sushmita Sen,2002-01-01,0,3,0.0
Gracy Singh,2002-01-01,0,0,0.0
Kunal Khemu,2002-01-01,0,0,0.0
Juhi Chawla,2002-01-01,0,0,0.0
Vinay Pathak,2002-01-01,0,0,0.0
Dharmendra,2002-01-01,0,0,0.0
Mohammed Zeeshan Ayyub,2002-01-01,0,0,0.0
Ranvir Shorey,2002-01-01,1,0,1.0
Genelia D'Souza,2002-01-01,0,0,0.0
Isha Koppikar,2002-01-01,0,0,0.0
Soha Ali Khan,2002-01-01,0,0,0.0
Johnny Lever,2002-01-01,0,1,0.0
Ayesha Takia,2002-01-01,0,0,0.0
Tia Bajpai,2002-01-01,0,0,0.0
Nasser,2002-01-01,0,0,0.0
Saurabh Shukla,2002-01-01,0,0,0.0
Konkona Sen Sharma,2002-01-01,0,0,0.0
Ameesha Patel,2002-01-01,0,5,0.0
Zayed Khan,2002-01-01,0,0,0.0
Neha Dhupia,2002-01-01,0,0,0.0
Irrfan Khan,2002-01-01,0,0,0.0
Revathy,2002-01-01,0,0,0.0
Girish Karnad,2002-01-01,0,0,0.0
Fardeen Khan,2002-01-01,0,2,0.0
Mahesh Manjrekar,2002-01-01,0,1,0.0
Shakti Kapoor,2002-01-01,0,4,0.0
Shiney Ahuja,2002-01-01,0,0,0.0
Lillete Dubey,2002-01-01,0,0,0.0
Shreyas Talpade,2002-01-01,0,0,0.0
Minissha Lamba,2002-01-01,0,0,0.0
Jimmy Shergill,2002-01-01,1,2,0.3333333333333333
Manisha Koirala,2002-01-01,1,1,0.5
Atul Kulkarni,2002-01-01,0,0,0.0
Amrita Arora,2002-01-01,0,1,0.0
Neil Nitin Mukesh,2002-01-01,0,0,0.0
Rajat Kapoor,2002-01-01,0,0,0.0
Aftab Shivdasani,2002-01-01,0,4,0.0
Ashmit Patel,2002-01-01,0,0,0.0
Dimple Kapadia,2002-01-01,0,0,0.0
Urmila Matondkar,2002-01-01,0,1,0.0
Danny Denzongpa,2002-01-01,0,1,0.0
Ahsaas Channa,2002-01-01,0,0,0.0
Prem Chopra,2002-01-01,0,0,0.0
Sushant Singh,2002-01-01,0,1,0.0
Rahul Dev,2002-01-01,0,1,0.0
Kay Kay Menon,2002-01-01,0,1,0.0
Darshan Jariwala,2002-01-01,0,0,0.0
Antara Mali,2002-01-01,0,1,0.0
Jackie Shroff,2002-01-01,1,1,0.5
Vrajesh Hirjee,2002-01-01,0,0,0.0
Vicky Ahuja,2002-01-01,0,1,0.0
Sandhya Mridul,2002-01-01,0,0,0.0
Arbaaz Khan,2002-01-01,0,2,0.0
Prachi Desai,2002-01-01,0,0,0.0
Ali Zafar,2002-01-01,0,0,0.0
Udita Goswami,2002-01-01,0,0,0.0
Rana Jung Bahadur,2002-01-01,0,1,0.0
Abhay Deol,2002-01-01,0,0,0.0
Neetu Chandra,2002-01-01,0,0,0.0
Sanjay Mishra,2002-01-01,0,0,0.0
Priyanshu Chatterjee,2002-01-01,0,0,0.0
Raveena Tandon,2002-01-01,0,3,0.0
Alok Nath,2002-01-01,0,1,0.0
Mahie Gill,2002-01-01,0,0,0.0
Sharat Saxena,2002-01-01,0,1,0.0
Mithun Chakraborty,2002-01-01,0,1,0.0
Bobby Deol,2002-01-01,0,4,0.0
Tinnu Anand,2002-01-01,0,0,0.0
Manjari Phadnis,2002-01-01,0,0,0.0
Kunal Kapoor,2002-01-01,0,0,0.0
Ayub Khan,2002-01-01,0,0,0.0
Kashmira Shah,2002-01-01,0,0,0.0
Deepak Dobriyal,2002-01-01,0,0,0.0
Rajpal Yadav,2002-01-01,0,0,0.0
Divya Dutta,2002-01-01,0,0,0.0
Rajat Bedi,2002-01-01,0,4,0.0
Rahul Bose,2002-01-01,0,0,0.0
Parvin Dabas,2002-01-01,0,0,0.0
Asrani,2002-01-01,0,0,0.0
Raghuvir Yadav,2002-01-01,0,0,0.0
Avtar Gill,2002-01-01,0,0,0.0
Aashish Chaudhary,2002-01-01,0,0,0.0
Laxmikant Berde,2002-01-01,0,1,0.0
Nandita Das,2002-01-01,0,2,0.0
Mukesh Tiwari,2002-01-01,0,1,0.0
Mahima Chaudhry,2002-01-01,0,1,0.0
Shahana Goswami,2002-01-01,0,0,0.0
Tara Sharma,2002-01-01,0,0,0.0
Smita Jaykar,2002-01-01,0,1,0.0
Gulshan Grover,2002-01-01,0,1,0.0
Vidya Malvade,2002-01-01,0,0,0.0
Yashpal Sharma,2002-01-01,0,0,0.0
Manoj Bajpayee,2002-01-01,0,1,0.0
Ashutosh Rana,2002-01-01,0,6,0.0
Ravi Kishan,2002-01-01,0,0,0.0
Nafisa Ali,2002-01-01,0,0,0.0
Arunoday Singh,2002-01-01,0,0,0.0
Omkar Das Manikpuri,2002-01-01,0,0,0.0
Himanshu Malik,2002-01-01,0,0,0.0
Mimoh Chakraborty,2002-01-01,0,0,0.0
Nushrat Bharucha,2002-01-01,0,0,0.0
Sarika,2002-01-01,0,0,0.0
Hema Malini,2002-01-01,0,0,0.0
Krishna Bhatt,2002-01-01,0,0,0.0
Dino Morea,2002-01-01,0,1,0.0
Tanushree Dutta,2002-01-01,0,0,0.0
Zakir Hussain,2002-01-01,0,0,0.0
Asif Basra,2002-01-01,0,0,0.0
Sachin Khedekar,2002-01-01,0,2,0.0
Celina Jaitly,2002-01-01,0,0,0.0
Raima Sen,2002-01-01,0,0,0.0
Gul Panag,2002-01-01,0,0,0.0
Rakesh Bedi,2002-01-01,0,0,0.0
Rati Agnihotri,2002-01-01,0,2,0.0
Ali Fazal,2002-01-01,0,0,0.0
Aarti Chhabria,2002-01-01,0,0,0.0
Satish Kaushik,2002-01-01,0,0,0.0
Seema Biswas,2002-01-01,0,2,0.0
Sanjay Suri,2002-01-01,0,2,0.0
Arun Bakshi,2002-01-01,0,2,0.0
Arya Babbar,2002-01-01,0,1,0.0
Namrata Shirodkar,2002-01-01,0,2,0.0
Dipannita Sharma,2002-01-01,0,1,0.0
Manu Rishi Chadha,2002-01-01,0,0,0.0
Sharad S. Kapoor,2002-01-01,0,2,0.0
Farida Jalal,2002-01-01,0,2,0.0
Mugdha Godse,2002-01-01,0,0,0.0
Riya Sen,2002-01-01,0,0,0.0
Bhoomika Chawla,2002-01-01,0,0,0.0
Tulip Joshi,2002-01-01,1,0,1.0
Vijay Raaz,2002-01-01,0,1,0.0
Hrishitaa Bhatt,2002-01-01,0,0,0.0
Dinesh Hingoo,2002-01-01,0,2,0.0
Sadashiv Amrapurkar,2002-01-01,0,0,0.0
Mohnish Bahl,2002-01-01,0,0,0.0
Farooq Shaikh,2002-01-01,0,0,0.0
Vikram Gokhale,2002-01-01,0,1,0.0
Govind Namdeo,2002-01-01,0,0,0.0
Kurush Deboo,2002-01-01,0,0,0.0
Sahil Khan,2002-01-01,0,0,0.0
Yash Tonk,2002-01-01,0,0,0.0
Ishrat Ali,2002-01-01,0,1,0.0
Milind Gunaji,2002-01-01,0,1,0.0
Sudesh Berry,2002-01-01,0,2,0.0
Rajit Kapoor,2002-01-01,0,1,0.0
Nassar Abdulla,2002-01-01,0,0,0.0
Snehal Dabi,2002-01-01,0,1,0.0
Sandali Sinha,2002-01-01,0,0,0.0
Kader Khan,2002-01-01,0,4,0.0
Rajeev Khandelwal,2002-01-01,0,0,0.0
Anupama Verma,2002-01-01,0,2,0.0
Anang Desai,2002-01-01,0,2,0.0
Himesh Reshammiya,2002-01-01,0,0,0.0
Bharati Achrekar,2002-01-01,0,0,0.0
Ashish Vidyarthi,2002-01-01,0,1,0.0
Purab Kohli,2002-01-01,0,0,0.0
Ila Arun,2002-01-01,0,0,0.0
Ram Kapoor,2002-01-01,0,0,0.0
Manoj Joshi,2002-01-01,0,0,0.0
Preeti Jhangiani,2002-01-01,0,3,0.0
Jacky Bhagnani,2002-01-01,0,0,0.0
Anuj Sawhney,2002-01-01,0,0,0.0
Neha Sharma,2002-01-01,0,0,0.0
Neena Gupta,2002-01-01,0,0,0.0
Gajendra Chouhan,2002-01-01,0,0,0.0
Perizaad Zorabian,2002-01-01,0,0,0.0
Aryan Vaid,2002-01-01,0,0,0.0
Prateik,2002-01-01,0,0,0.0
Sayaji Shinde,2002-01-01,0,1,0.0
Anita Hassandani,2002-01-01,0,0,0.0
Pooja Batra,2002-01-01,0,0,0.0
Vatsal Seth,2002-01-01,0,0,0.0
Suman Ranganathan,2002-01-01,0,0,0.0
Javed Jaffrey,2002-01-01,0,0,0.0
Mukesh Bhatt,2002-01-01,0,0,0.0
Arjan Bajwa,2002-01-01,0,0,0.0
Kabir Bedi,2002-01-01,0,1,0.0
Mukul Dev,2002-01-01,0,0,0.0
Shawar Ali,2002-01-01,0,0,0.0
Ayesha Jhulka,2002-01-01,0,0,0.0
Rajesh Khanna,2002-01-01,0,1,0.0
Birbal,2002-01-01,0,0,0.0
Sayali Bhagat,2002-01-01,0,0,0.0
Kiran Kumar,2002-01-01,0,2,0.0
